genome	relative_abundance	sample
MASTER_WP4_FFoQSI_1__VB-09-M8__bin_43_PROK	0	C1
MASTER_WP4_UNINA_1__PM013_71775__bin_12_PROK	0	C1
PfeferT_xxxx__SRS2870582__bin_1_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS06-27__bin_3_PROK	0	C1
MortensenS_xxxx__WK026-2-G-48h-04A2_S102__bin_5_PROK	0	C1
MASTER_WP4_CSIC_1__P2219_73323__bin_17_EUK	0	C1
MortensenS_xxxx__WK017-2-G-48h-01E2_S17__bin_6_PROK	0	C1
MASTER_WP4_UNINA_1__GR003_71775__bin_2_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB14-F-AR__bin_37_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB09-30__bin_62_PROK	0	C1
MASTER_WP4_CSIC_2__P2478__bin_11_PROK	0	C1
MASTER_WP4_UNINA_1__GO004_71775__bin_49_PROK	0	C1
MASTER_WP4_UNINA_1__FF007_71775__bin_2_PROK	0	C1
MASTER_WP4_CSIC_2__P2584__bin_10_PROK	0	C1
MASTER_WP4_CSIC_2__P2597__bin_1_EUK	0	C1
MortensenS_xxxx__WK041-1-L-08h-03F5_S69__bin_9_PROK	0	C1
MASTER_WP4_UNINA_1__PU007_71775__bin_4_PROK	0	C1
MASTER_WP4_CSIC_1__P2219_73323__bin_9_EUK	0	C1
MortensenS_xxxx__WK060-2-L-48h-04H7_S41__bin_1_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB15-29__bin_11_PROK	0	C1
WalshL_xxxx__J9__bin_3_PROK	0	C1
DeFilippisF_xxxx__DF_92__bin_1_PROK	0	C1
AlvarezOrdonezA_xxxx__F01-17__bin_2_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-04-BG__bin_17_PROK	0	C1
SalvettiE_2016__SRS1050146__bin_10_PROK	0	C1
MASTER_WP4_CSIC_2__P2608__bin_45_PROK	0	C1
WalshL_xxxx__L6__bin_2_PROK	0	C1
MASTER_WP4_CSIC_1__P2230_73323__bin_1_PROK	0	C1
MASTER_WP4_CSIC_2__P2550__bin_15_EUK	0	C1
MASTER_WP4_CSIC_1__P2224_73323__bin_14_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS12-20__bin_1_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS04-22__bin_4_PROK	0	C1
EBC_040_8_fa_PROK_MiFo_tagged	0	C1
MASTER_WP4_FFoQSI_1__VB-08-M4__bin_24_PROK	0	C1
AlvarezOrdonezA_xxxx__Q08-29__bin_27_PROK	0	C1
LeechJ_2020__ERS3967689__bin_3_PROK	0	C1
MortensenS_xxxx__WK022-1-L-08h-02F7_S112__bin_5_PROK	0	C1
MASTER_WP4_CSIC_2__P2607__bin_4_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB10-30__bin_28_PROK	0	C1
AlvarezOrdonezA_xxxx__C02-19__bin_5_PROK	0	C1
BertuzziAS_2018__ERS2032112__bin_5_PROK	0	C1
ArikanM_2020__ERS1937824__bin_3_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB09-20__bin_6_PROK	0	C1
DeFilippisF_xxxx__DF_28__bin_4_PROK	0	C1
WalshL_xxxx__O12__bin_1_PROK	0	C1
MASTER_WP4_UNINA_2__I-27__bin_4_PROK	0	C1
DeFilippisF_xxxx__DF_113__bin_1_PROK	0	C1
DeFilippisF_xxxx__DS_106__bin_9_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB08-26__bin_1_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB15-21__bin_7_PROK	0	C1
MortensenS_xxxx__WK058-1-L-48h-04G6_S31__bin_6_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS13-29__bin_4_PROK	0	C1
MortensenS_xxxx__WK019-2-G-48h-01E4_S19__bin_7_PROK	0	C1
MortensenS_xxxx__WK050-1-L-08h-04C7_S125__bin_4_PROK	0	C1
MASTER_WP4_CSIC_2__P2504__bin_1_PROK	0	C1
DeFilippisF_xxxx__DF_76__bin_6_PROK	0	C1
PatroJN_2016__SRS1044735__bin_23_PROK	0	C1
MortensenS_xxxx__WK054-1-L-48h-04E8_S15__bin_6_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-03-M6__bin_14_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS04-28__bin_27_PROK	0	C1
WalshL_xxxx__D2__bin_3_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS03-29__bin_2_PROK	0	C1
WalshAM_2016__ERS1354636__bin_1_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB15-29__bin_39_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-15-M9__bin_36_PROK	0	C1
MASTER_WP4_UNINA_2__V-23_1__bin_1_PROK	0	C1
MASTER_WP4_CSIC_2__P2619__bin_41_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-09-M7__bin_76_PROK	0	C1
MASTER_WP4_UNINA_1__PB007_73417__bin_2_PROK	0	C1
DeFilippisF_xxxx__DS_48__bin_12_PROK	0	C1
MortensenS_xxxx__WK001T-1-L-04h-05E2_S90__bin_2_PROK	0	C1
MortensenS_xxxx__WK054-2-G-48h-05G6_S112__bin_2_PROK	0	C1
MASTER_WP4_UNINA_1__PM012_71775__bin_16_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-16-AG__bin_50_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB12-28__bin_4_PROK	0	C1
LeechJ_2020__ERS3967692__bin_5_PROK	0	C1
MASTER_WP4_UNINA_2__V-26_1__bin_28_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB15-29__bin_10_PROK	0	C1
MASTER_WP4_CSIC_2__P2558__bin_49_PROK	0	C1
MASTER_WP4_UNINA_1__GR001_73417__bin_6_PROK	0	C1
AlvarezOrdonezA_xxxx__Q01-25__bin_8_PROK	0	C1
MASTER_WP4_CSIC_1__P2137_73322__bin_61_PROK	0	C1
AlvarezOrdonezA_xxxx__F05-18__bin_7_PROK	0	C1
WalshL_xxxx__O9__bin_9_PROK	0	C1
YasirM_2020__ERS4361128__bin_2_PROK	0	C1
LeechJ_xxxx__AF92__bin_2_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-15-AG__bin_6_PROK	0	C1
BertuzziAS_2018__ERS2032100__bin_4_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB09-27__bin_5_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB08-30__bin_3_PROK	0	C1
BertuzziAS_2018__ERS2032111__bin_1_PROK	0	C1
MASTER_WP4_UNINA_1__FO007_71775__bin_16_PROK	0.4992286	C1
DeFilippisF_xxxx__DF_41__bin_22_PROK	1.0929842	C1
MASTER_WP4_FFoQSI_1__VB-14-M18__bin_31_PROK	0	C1
WalshL_xxxx__H3_S87__bin_11_PROK	0	C1
DeFilippisF_xxxx__DS_50__bin_1_PROK	0	C1
MASTER_WP4_UNINA_2__O-30__bin_6_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS08-29__bin_16_PROK	0	C1
MASTER_WP4_UNINA_1__MO007_73418__bin_7_PROK	0	C1
DeFilippisF_xxxx__DF_40__bin_3_PROK	0	C1
MASTER_WP4_UNINA_2__J-18__bin_12_PROK	0	C1
LeechJ_xxxx__AF54__bin_5_PROK	0	C1
MortensenS_xxxx__WK033-1-L-08h-03B9_S37__bin_11_PROK	0.030693926	C1
MortensenS_xxxx__WK051-2-L-08h-04D6_S4__bin_6_PROK	0	C1
MASTER_WP4_CSIC_2__P2616__bin_22_PROK	0	C1
MortensenS_xxxx__WK064-2-L-48h-05A5_S57__bin_7_PROK	0	C1
PfeferT_xxxx__SRS2870570__bin_2_PROK	0	C1
MASTER_WP4_CSIC_2__P2579__bin_7_PROK	0	C1
WolfeBE_2014__337_Mileens__bin_5_PROK	0	C1
BertuzziAS_2018__ERS2032112__bin_6_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB02-29__bin_22_PROK	0	C1
MortensenS_xxxx__WK031-1-L-08h-03B1_S29__bin_1_PROK	0	C1
LandisEA_2021__SRS5653137__bin_2_PROK	0	C1
KastmanEK_2016__CSB409__bin_1_PROK	0	C1
WalshL_xxxx__I5__bin_3_PROK	0	C1
MortensenS_xxxx__WK026-2-G-48h-04A2_S102__bin_2_PROK	0	C1
MASTER_WP4_UNINA_2__O-29__bin_12_PROK	0	C1
LeechJ_xxxx__AF78__bin_7_PROK	0	C1
LeechJ_2020__ERS3967701__bin_6_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB11-27__bin_1_PROK	0	C1
LeechJ_2020__ERS3967707__bin_4_PROK	0	C1
DeFilippisF_xxxx__DF_54__bin_9_EUK	0	C1
MASTER_WP4_CSIC_1__P2178_73322__bin_3_PROK	0	C1
DeFilippisF_xxxx__DS_112__bin_10_PROK	0	C1
AlvarezOrdonezA_xxxx__Q08-30__bin_8_PROK	0	C1
WalshAM_2020__ERS3466723__bin_5_EUK	0	C1
MASTER_WP4_TEAGASC_1__TGS01-23__bin_2_PROK	0	C1
AlvarezOrdonezA_xxxx__Q01-27__bin_7_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB09-23__bin_8_PROK	0	C1
MASTER_WP4_CSIC_2__P2507__bin_8_PROK	0	C1
WalshAM_2020__ERS3466777__bin_5_PROK	0	C1
MASTER_WP4_UNINA_1__PR012_71775__bin_8_PROK	0	C1
MASTER_WP4_UNINA_1__PM005_71775__bin_11_PROK	0	C1
MASTER_WP4_UNINA_2__O-25_1__bin_21_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB12-F-BR__bin_48_PROK	0	C1
AlvarezOrdonezA_xxxx__Q04-28__bin_6_PROK	0	C1
MortensenS_xxxx__WK045-1-L-48h-03H4_S86__bin_5_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-09-M8__bin_73_PROK	0	C1
MASTER_WP4_FFoQSI_1__KM-2G__bin_48_PROK	0	C1
MASTER_WP4_CSIC_1__P2_200_75211__bin_4_PROK	0	C1
AlvarezOrdonezA_xxxx__Q05-26__bin_5_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB10-30__bin_11_PROK	0	C1
MASTER_WP4_UNINA_1__SP109_71775__bin_29_PROK	0	C1
BertuzziAS_2018__ERS2032112__bin_7_PROK	0	C1
MortensenS_xxxx__WK024-2-G-48h-01E9_S24__bin_5_PROK	0	C1
MortensenS_xxxx__WK010-1-L-08h-02A1_S61__bin_7_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS15-28__bin_22_EUK	0	C1
MASTER_WP4_UNINA_2__V-24_1__bin_9_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB05-25__bin_10_PROK	0	C1
MASTER_WP4_UNINA_1__SF011_73417__bin_4_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-06-BG__bin_33_PROK	0	C1
MASTER_WP4_FFoQSI_1__KM-4D__bin_13_PROK	0	C1
DeFilippisF_xxxx__DS_1__bin_16_PROK	0	C1
MortensenS_xxxx__WK062-2-L-48h-04I6_S49__bin_2_PROK	0	C1
MASTER_WP4_UNINA_1__PA012_73417__bin_10_PROK	0	C1
BertuzziAS_2018__ERS2032092__bin_5_PROK	0	C1
AlvarezOrdonezA_xxxx__Q02-21__bin_7_PROK	0	C1
MortensenS_xxxx__WK055-2-L-48h-04F5_S21__bin_2_PROK	0	C1
MASTER_WP4_UNINA_2__N-22__bin_13_PROK	0	C1
MASTER_WP4_UNINA_1__MO005_73417__bin_10_PROK	0	C1
MASTER_WP4_CSIC_2__P2633__bin_17_PROK	0	C1
WalshL_xxxx__N4__bin_4_PROK	0	C1
MASTER_WP4_CSIC_2__P2565__bin_6_PROK	0	C1
WolfeBE_2014__491_Bayley__bin_10_EUK	0	C1
AlvarezOrdonezA_xxxx__C03-18__bin_6_PROK	0	C1
MASTER_WP4_CSIC_1__P2233_73323__bin_20_PROK	0	C1
MASTER_WP4_CSIC_2__P2631__bin_3_PROK	0	C1
WalshL_xxxx__H9__bin_1_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB15-29__bin_50_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-15-M11__bin_37_PROK	0	C1
MASTER_WP4_UNINA_2__M-26__bin_5_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB16-29__bin_19_PROK	0	C1
BertuzziAS_2018__ERS2032098__bin_4_PROK	0	C1
MortensenS_xxxx__WK062-1-L-48h-04I4_S47__bin_4_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS07-22__bin_5_PROK	0	C1
MASTER_WP4_UNINA_2__B-22__bin_3_EUK	0	C1
YulandiA_2020__SRS6115052__bin_28_PROK	0	C1
MASTER_WP4_FFoQSI_1__KM-5G__bin_18_PROK	0	C1
WalshL_xxxx__D8__bin_4_PROK	0	C1
MortensenS_xxxx__WK055-2-G-48h-05G7_S113__bin_4_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB15-30__bin_4_PROK	0	C1
WalshL_xxxx__F4__bin_4_PROK	0	C1
SEM_41_S58_18_fa_PROK_MiFo_tagged	0	C1
WalshL_xxxx__Q10__bin_3_PROK	0	C1
LeechJ_xxxx__AF57__bin_8_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-09-M7__bin_13_PROK	0	C1
MortensenS_xxxx__WK031-2-L-48h-03B4_S32__bin_1_PROK	0	C1
WalshL_xxxx__R4__bin_6_PROK	0	C1
MASTER_WP4_UNINA_1__AS202_73417__bin_2_PROK	0	C1
MortensenS_xxxx__WK005-2-G-48h-01C8_S5__bin_2_PROK	0	C1
MASTER_WP4_UNINA_1__MV011_71775__bin_14_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-09-BD__bin_27_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS05-22__bin_2_EUK	0	C1
MASTER_WP4_UNINA_1__TA003_71775__bin_16_PROK	0	C1
WalshL_xxxx__O10__bin_3_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS09-22__bin_1_PROK	0	C1
WalshL_xxxx__A11__bin_1_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS08-30__bin_11_PROK	0	C1
WolfeBE_2014__316_Langre__bin_1_PROK	0	C1
MASTER_WP4_FFoQSI_1__KM-1D__bin_27_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS05-21__bin_5_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-05-BD__bin_48_PROK	0	C1
PasolliE_2020__SRS6525471__bin_1_PROK	0	C1
LeechJ_xxxx__AF84__bin_19_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB02-29__bin_3_PROK	0	C1
LeechJ_2020__ERS3967741__bin_12_PROK	0	C1
MortensenS_xxxx__WK054-2-L-08h-04E9_S16__bin_6_PROK	0	C1
LandisEA_2021__SRS5653374__bin_2_PROK	0	C1
MASTER_WP4_UNINA_2__T-26_1__bin_2_PROK	0	C1
MASTER_WP4_UNINA_2__V-25_1__bin_26_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB02-30__bin_26_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-09-AG__bin_19_PROK	0	C1
MASTER_WP4_CSIC_1__P2237_73323__bin_14_PROK	0	C1
QuigleyL_2016__ERS654088__bin_1_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS15-30__bin_8_PROK	0	C1
WalshL_xxxx__D1__bin_4_PROK	0	C1
MortensenS_xxxx__WK001-2-L-48h-01F4_S28__bin_5_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS06-22__bin_4_PROK	0	C1
MASTER_WP4_UNINA_2__O-26__bin_8_PROK	0	C1
DeFilippisF_xxxx__DF_77__bin_13_PROK	0	C1
AlvarezOrdonezA_xxxx__Q04-26__bin_2_PROK	0	C1
MortensenS_xxxx__WK028-2-L-48h-03A1_S20__bin_4_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-15-AG__bin_42_EUK	0	C1
WalshL_xxxx__P1__bin_4_PROK	0	C1
MortensenS_xxxx__WK015-2-L-48h-02C6_S84__bin_4_PROK	0	C1
DeFilippisF_xxxx__DF_94__bin_2_PROK	0	C1
WalshL_xxxx__D7__bin_8_PROK	0	C1
MASTER_WP4_UNINA_1__PR107_71775__bin_8_PROK	0	C1
WalshAM_2020__ERS3466732__bin_2_PROK	0	C1
AlvarezOrdonezA_xxxx__R01-19__bin_5_PROK	0	C1
MASTER_WP4_CSIC_2__P2514__bin_5_PROK	0	C1
MortensenS_xxxx__WK001T-1-L-02h-05D7_S86__bin_3_PROK	0	C1
WalshAM_2020__ERS3466741__bin_2_PROK	0	C1
AlvarezOrdonezA_xxxx__Q02-24__bin_3_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB06-21__bin_13_PROK	0	C1
MASTER_WP4_UNINA_1__PM007_71775__bin_11_PROK	0	C1
MortensenS_xxxx__WK030-2-L-08h-03A8_S27__bin_10_PROK	0	C1
WalshL_xxxx__Q11__bin_5_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-15-BD__bin_8_PROK	0	C1
LeechJ_xxxx__AF87__bin_4_PROK	0	C1
MortensenS_xxxx__WK035-2-G-48h-04B2_S111__bin_3_EUK	0	C1
MASTER_WP4_CSIC_2__P2584__bin_23_PROK	0	C1
AlvarezOrdonezA_xxxx__Q05-22__bin_4_PROK	0	C1
MASTER_WP4_UNINA_2__I-25_1__bin_10_PROK	0	C1
WalshL_xxxx__R5__bin_1_PROK	0	C1
MASTER_WP4_CSIC_2__P2621__bin_19_EUK	0	C1
DeFilippisF_xxxx__DS_91__bin_13_PROK	0	C1
MASTER_WP4_UNINA_2__B-22__bin_8_PROK	0	C1
SulaimanJ_2014__SRS398266__bin_3_PROK	0	C1
LeechJ_2020__ERS3967707__bin_10_PROK	0	C1
LeechJ_xxxx__AF26__bin_8_PROK	0	C1
WalshL_xxxx__R6__bin_2_PROK	0	C1
MortensenS_xxxx__WK033-1-L-08h-03B9_S37__bin_8_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS07-22__bin_2_EUK	0	C1
YulandiA_2020__SRS6115052__bin_7_PROK	0	C1
MASTER_WP4_FFoQSI_1__KM-4D__bin_14_PROK	0	C1
MortensenS_xxxx__WK057-1-L-48h-04G2_S27__bin_6_PROK	0	C1
MASTER_WP4_CSIC_2__P2630__bin_26_PROK	0	C1
AlvarezOrdonezA_xxxx__Q08-22__bin_23_PROK	0	C1
MASTER_WP4_UNINA_1__PU010_71775__bin_23_PROK	0	C1
EBC_080_11_fa_PROK_MiFo_tagged	0	C1
MortensenS_xxxx__WK007-1-L-08h-01H7_S49__bin_3_PROK	0	C1
MASTER_WP4_CSIC_2__P2609__bin_15_PROK	0	C1
WolfeBE_2014__679_Raclette__bin_8_PROK	0	C1
MASTER_WP4_UNINA_1__SF013_71775__bin_7_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS07-25__bin_2_PROK	0	C1
ZhaoCC_2020__SRS5803195__bin_53_PROK	0	C1
MASTER_WP4_CSIC_1__P2177_73322__bin_3_EUK	0	C1
WalshL_xxxx__G2__bin_3_PROK	0	C1
MortensenS_xxxx__WK057-1-L-48h-04G2_S27__bin_1_EUK	0	C1
DeFilippisF_xxxx__DS_106__bin_2_PROK	0	C1
DeFilippisF_xxxx__DF_54__bin_1_PROK	0	C1
DeFilippisF_xxxx__DF_35__bin_4_PROK	0	C1
YulandiA_2020__SRS6115053__bin_2_PROK	0	C1
LandisEA_2021__SRS5652913__bin_8_PROK	0	C1
WalshL_xxxx__S6__bin_2_PROK	0	C1
MASTER_WP4_UNINA_2__V-23_1__bin_17_PROK	0	C1
SulaimanJ_2014__SRS398266__bin_6_PROK	0	C1
LandisEA_2021__SRS5653152__bin_3_EUK	0	C1
MASTER_WP4_CSIC_2__P2599__bin_11_EUK	0	C1
MASTER_WP4_TEAGASC_1__TGS04-28__bin_22_EUK	0	C1
MASTER_WP4_FFoQSI_2__VB16-30__bin_17_PROK	0	C1
MASTER_WP4_UNINA_1__AS001_71775__bin_3_PROK	0	C1
MASTER_WP4_UNINA_2__O-30__bin_7_PROK	0	C1
MASTER_WP4_UNINA_1__PR004_71775__bin_6_PROK	0	C1
LeechJ_2020__ERS3967704__bin_2_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB08-22__bin_6_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB12-F-AR__bin_25_PROK	0	C1
DeFilippisF_xxxx__DF_60__bin_2_PROK	0	C1
WalshL_xxxx__E6__bin_2_PROK	0	C1
WalshL_xxxx__E9__bin_3_PROK	0	C1
WalshAM_2020__ERS3466774__bin_1_PROK	0	C1
KastmanEK_2016__CSB600__bin_4_PROK	0	C1
LeechJ_2020__ERS3967703__bin_5_PROK	0	C1
MASTER_WP4_UNINA_1__PM007_71775__bin_12_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB15-29__bin_14_PROK	0	C1
MASTER_WP4_UNINA_1__ST007_71775__bin_7_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-09-M7__bin_61_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB08-29__bin_7_PROK	0	C1
MASTER_WP4_FFoQSI_1__KM-5G__bin_6_PROK	0	C1
MASTER_WP4_FFoQSI_2__VB15-30__bin_37_PROK	0	C1
MortensenS_xxxx__WK029-2-G-48h-04A5_S105__bin_3_PROK	0	C1
MASTER_WP4_CSIC_1__P2145_73322__bin_13_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB02-22__bin_6_PROK	0	C1
WalshL_xxxx__H3_S87__bin_4_PROK	0	C1
MilaniC_2019__SRS3591582__bin_10_PROK	0	C1
MortensenS_xxxx__WK052-2-L-48h-04E2_S9__bin_3_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS04-28__bin_24_PROK	0	C1
MASTER_WP4_UNINA_1__TA011_71775__bin_32_PROK	0	C1
MASTER_WP4_UNINA_2__O-30__bin_4_PROK	0	C1
MASTER_WP4_UNINA_1__PT008_71775__bin_7_PROK	0	C1
ZhaoCC_2020__SRS5803194__bin_14_PROK	0	C1
MortensenS_xxxx__WK022-2-L-48h-02G1_S115__bin_6_PROK	0	C1
MASTER_WP4_UNINA_1__PB007_73417__bin_12_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB02-28__bin_10_PROK	0	C1
LeechJ_2020__ERS3967741__bin_4_PROK	0	C1
MortensenS_xxxx__WK012-2-L-48h-02B3_S72__bin_6_PROK	0	C1
PfeferT_xxxx__SRS2870602__bin_6_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-09-M8__bin_31_PROK	0	C1
LandisEA_2021__SRS5653318__bin_2_PROK	0	C1
DeFilippisF_xxxx__DF_94__bin_8_PROK	0	C1
DeFilippisF_xxxx__DF_6__bin_1_PROK	0	C1
MASTER_WP4_CSIC_1__P2179_73322__bin_5_PROK	0	C1
MASTER_WP4_UNINA_2__R-33__bin_4_PROK	0	C1
MortensenS_xxxx__WK027-1-L-08h-02I3_S13__bin_6_PROK	0	C1
BertuzziAS_2018__ERS2032091__bin_2_PROK	0	C1
BertuzziAS_2018__ERS2032102__bin_4_PROK	0	C1
LeechJ_xxxx__AF56__bin_2_PROK	0	C1
MASTER_WP4_CSIC_2__P2618__bin_28_PROK	0	C1
DeFilippisF_xxxx__DF_11__bin_24_PROK	0	C1
MortensenS_xxxx__WK037-2-G-48h-04B4_S113__bin_6_PROK	0	C1
WalshL_xxxx__O5__bin_5_PROK	0	C1
WalshL_xxxx__C3__bin_2_PROK	0	C1
MASTER_WP4_UNINA_1__FO013_71775__bin_6_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-08-M3__bin_28_PROK	0	C1
MortensenS_xxxx__WK054-1-L-48h-04E8_S15__bin_11_PROK	0	C1
QuigleyL_2016__ERS654087__bin_2_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-15-AG__bin_27_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-15-M9__bin_22_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-05-BD__bin_26_PROK	0	C1
WalshAM_2020__ERS3466761__bin_3_PROK	0	C1
MASTER_WP4_CSIC_1__P2227_73323__bin_5_EUK	0	C1
LeechJ_xxxx__AF94__bin_1_PROK	0	C1
WalshL_xxxx__T3__bin_5_PROK	0	C1
BertuzziAS_2018__ERS2032127__bin_3_PROK	0	C1
MASTER_WP4_CSIC_2__P2601__bin_18_PROK	0	C1
BertuzziAS_2018__ERS2032104__bin_6_PROK	0	C1
MASTER_WP4_UNINA_1__PA012_73417__bin_4_PROK	0	C1
AlvarezOrdonezA_xxxx__Q07-24__bin_3_PROK	0	C1
MortensenS_xxxx__WK018-2-L-48h-02D9_S96__bin_11_PROK	0	C1
WalshL_xxxx__Q2__bin_3_PROK	0	C1
ArikanM_2020__ERS1939657__bin_6_PROK	0	C1
MASTER_WP4_CSIC_2__P2576__bin_2_EUK	0	C1
MortensenS_xxxx__WK037-2-L-08h-03D9_S55__bin_4_PROK	0	C1
WolfeBE_2014__932_Robiola_due_Latte__bin_8_PROK	0	C1
MortensenS_xxxx__WK046-1-L-08h-03H7_S89__bin_2_PROK	0	C1
MortensenS_xxxx__WK010-2-L-08h-02A3_S63__bin_8_PROK	0	C1
MASTER_WP4_CSIC_1__P2196_73323__bin_4_PROK	0	C1
MortensenS_xxxx__WK003-2-L-48h-01G3_S36__bin_6_PROK	0	C1
DeFilippisF_xxxx__DF_88__bin_5_PROK	0	C1
WalshL_xxxx__S10__bin_2_PROK	0	C1
MASTER_WP4_UNINA_1__TA012_71775__bin_18_PROK	0	C1
MASTER_WP4_CSIC_2__P2588__bin_18_PROK	0	C1
MacoriG_2019__CS_R28__bin_1_fa_PROK_MiFo_tagged	0	C1
MASTER_WP4_UNINA_2__H-30__bin_7_PROK	0	C1
MortensenS_xxxx__WK024-1-L-08h-02G6_S120__bin_2_PROK	0	C1
MASTER_WP4_UNINA_1__CS001_71775__bin_6_PROK	0	C1
WalshL_xxxx__J1__bin_7_PROK	0	C1
MASTER_WP4_CSIC_2__P2548__bin_25_PROK	0	C1
WolfeBE_2014__581_Moses_Sleeper__bin_4_EUK	0	C1
EinsonEJ_2018__SRS2706106__bin_1_PROK	0.44449225	C1
MASTER_WP4_FFoQSI_2__VB10-28__bin_4_PROK	0	C1
MASTER_WP4_UNINA_1__SF007_71775__bin_18_PROK	0	C1
MASTER_WP4_TEAGASC_1__TGS15-30__bin_15_PROK	0	C1
MASTER_WP4_CSIC_2__P2594__bin_8_PROK	0	C1
MASTER_WP4_FFoQSI_1__VB-08-AG__bin_53_PROK	0	C1
LeechJ_xxxx__AF22__bin_3_PROK	0	C1
MortensenS_xxxx__WK040-1-L-08h-03F1_S65__bin_7_PROK	0	C1
EBC_113_1_fa_PROK_MiFo_tagged	0	C1
MASTER_WP4_FFoQSI_1__VB-14-BG__bin_19_PROK	0	C1
MASTER_WP4_UNINA_2__O-24_1__bin_4_PROK	0	C1
MortensenS_xxxx__WK048-1-L-48h-03I7_S98__bin_9_PROK	0	C1
MASTER_WP4_FFoQSI_3__VB13-27__bin_3_PROK	0	C1
DeFilippisF_xxxx__DF_37__bin_20_PROK	0	C1
MASTER_WP4_CSIC_1__P2168_73322__bin_4_PROK	0	C1
MortensenS_xxxx__WK001T-2-L-48h-05G1_S107__bin_1_PROK	0	C1
MortensenS_xxxx__WK056-1-L-08h-04F6_S22__bin_3_PROK	0	C1
WalshL_xxxx__N4__bin_2_PROK	0	C1
MortensenS_xxxx__WK034-2-L-48h-03C7_S44__bin_2_PROK	0	C1
MASTER_WP4_UNINA_1__MO007_73418__bin_4_PROK	0	C1
MortensenS_xxxx__WK009-2-L-48h-01I9_S60__bin_3_PROK	0	C1
WalshL_xxxx__H3_S87__bin_33_PROK	0	C1
