Genome	orange_2.mags.sorted Relative Abundance (%)	orange_2.mags.sorted Trimmed Mean	orange_2.mags.sorted Covered Fraction
MASTER_WP4_CSIC_1__P2246_73323__bin_19_EUK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q05-22__bin_7_PROK.fna	0	0	0
ArikanM_2020__ERS1939580__bin_2_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__SR008_71775__bin_11_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_2__VB16-22__bin_19_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__PT008_71775__bin_2_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS14-22__bin_12_PROK.fna	0	0	0
KumarJ_2019__SRS4562503__bin_5_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2232_73323__bin_12_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__C-20__bin_8_PROK.fna	0	0	0
LeechJ_xxxx__AF59__bin_6_PROK.fna	0	0	0
LeechJ_2020__ERS3967692__bin_4_PROK.fna	0	0	0
DeFilippisF_xxxx__DF_59__bin_12_PROK.fna	0	0	0
LeechJ_2020__ERS3967715__bin_1_PROK.fna	0	0	0
DeFilippisF_xxxx__DS_87__bin_4_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__J-17__bin_9_PROK.fna	0	0	0
LeechJ_xxxx__AF14__bin_5_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2137_73322__bin_1_PROK.fna	0	0	0
MortensenS_xxxx__WK038-2-L-48h-03E5_S60__bin_2_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB14-F-AR__bin_9_PROK.fna	0	0	0
WolfeBE_2014__671_Grayson__bin_13_PROK.fna	0	0	0
DuR_2020__DRS139334__bin_17_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__GO003_71775__bin_2_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2587__bin_8_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__J-19__bin_35_PROK.fna	0	0	0
WalshAM_2020__ERS3466771__bin_4_PROK.fna	0	0	0
WolfeBE_2014__mgm4524500__bin_4_fa_PROK_MiFo_tagged.fna	0	0	0
LeechJ_xxxx__AF56__bin_5_PROK.fna	0	0	0
DeFilippisF_xxxx__DS_111__bin_3_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__Q-16__bin_22_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_2__VB10-22__bin_21_EUK.fna	0	0	0
LiZ_2019__SRS3379169__bin_4_PROK.fna	0	0	0
LeechJ_xxxx__AF26__bin_5_EUK.fna	0	0	0
AlvarezOrdonezA_xxxx__C04-18__bin_7_EUK.fna	0	0	0
LiZ_2019__SRS3379169__bin_2_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__SC012_71775__bin_8_PROK.fna	0	0	0
MortensenS_xxxx__WK069-2-L-48h-05D2_S81__bin_3_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__PM012_71775__bin_1_PROK.fna	0	0	0
LandisEA_2021__SRS5652995__bin_9_PROK.fna	0	0	0
BertuzziAS_2018__ERS2032125__bin_3_EUK.fna	0	0	0
AlvarezOrdonezA_xxxx__C07-19__bin_8_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__DC18-F-AR__bin_20_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__C06-19__bin_13_PROK.fna	0	0	0
SalvettiE_2016__SRS1050146__bin_15_PROK.fna	0	0	0
LeechJ_xxxx__AF43__bin_8_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2574__bin_24_EUK.fna	0	0	0
MASTER_WP4_UNINA_1__PM007_71775__bin_9_PROK.fna	0	0	0
WalshAM_2020__ERS3466790__bin_1_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__V-30__bin_11_EUK.fna	0	0	0
AlvarezOrdonezA_xxxx__R03-19__bin_21_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__U-22__bin_5_PROK.fna	0	0	0
LeechJ_2020__ERS3967741__bin_11_PROK.fna	0	0	0
LeechJ_xxxx__AF73__bin_1_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2614__bin_9_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__A-20__bin_26_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q07-22__bin_9_PROK.fna	0	0	0
HeilCS_2018__Old_Warehouse_metagenome__bin_2_EUK.fna	0.483005	3.3425057	0.8669572
DeFilippisF_xxxx__DF_7__bin_8_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS11-30__bin_13_PROK.fna	0	0	0
SalvettiE_2016__SRS1050145__bin_1_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__T-22__bin_13_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_3__VB13-30__bin_33_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-09-AG__bin_44_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB14-F-AR__bin_13_PROK.fna	0	0	0
LeechJ_xxxx__AF68__bin_13_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2556__bin_21_EUK.fna	0	0	0
